name	tax_id
ciosav	51511
cj321	9483
cjac	9483
cjacchus	9483
cjacchus321	9483
cod	8049
coelacanth	7897
collared_flycatcher	59894
common_chimpanzee	9598
common_turkey	9103
cow	9913
cpor	10141
cporcellus	10141
csab	60711
csabaeus	60711
csav	51511
csavignyi	51511
d__melanogaster	7227
d_mel	7227
d_rerio	7955
danio	7955
danio_rerio	7955
danrer	7955
dasnov	9361
dasypus_novemcinctu	9361
dasypus_novemcinctus	9361
devil	9305
dipodomys_ordii	10020
dipodomysordii	10020
dipord	10020
dmel	7227
dmelanogaster	7227
dnov	9361
dnovemcinctus	9361
dog	9615
doguera_baboon	9555
dolphin	9739
domestic_cat	9685
domestic_cattle	9913
domestic_cow	9913
domestic_ferret	9669
domestic_guinea_pig	10141
domestic_sheep	9940
dord	10020
dordii	10020
drer	7955
drerio	7955
dromel	7227
drosophila_melanogaster	7227
duck	8839
ecab	9796
ecaballus	9796
echinops_telfairi	9371
echtel	9371
eeur	9365
eeuropaeus	9365
elegans	6239
elephant	9785
enshs	9606
ensmm	10090
equcab	9796
equus_caballus	9796
equuscaballus	9796
erieur	9365
erinaceus_europaeus	9365
etel	9371
etelfairi	9371
european_shrew	42254
f_albicollis	59894
falb	59894
falbicollis	59894
fcat	9685
fcatus	9685
felcat	9685
felis_catus	9685
ferret	9669
ficalb	59894
ficedula_albicollis	59894
finch	59729
flycatcher	59894
fresh_water_pufferfish	99883
fruit_fly	7227
fruitfly	7227
fugu	31033
g_gallus	9031
gacu	69293
gaculeatus	69293
gadmor	8049
gadus_morhua	8049
galago	30611
galgal	9031
gallus_gallus	9031
gasacu	69293
gasterosteus_aculeatus	69293
ggal	9031
ggallus	9031
ggor	9595
ggorilla	9595
giant_panda	9646
gibbon	61853
gmor	8049
gmorhua	8049
gorgor	9595
gorilla	9595
gorilla_gorilla	9595
gorilla_gorilla_gorilla	9595
gray_mouse_lemur	30608
gray_short-tailed_opossum	13616
green_anole	28377
green_anole_lizard	28377
grey_mouse_lemur	30608
ground_shrew	42254
guinea_pig	10141
h_sapiens	9606
hedgehog	9365
hoffmann's_two-fingered_sloth	9358
homo	9606
homo_sapiens	9606
homsap	9606
horse	9796
house_mouse	10090
hsap	9606
hsapiens	9606
human	9606
hyrax	9813
ictidomys_tridecemlineatus	43179
japanese_medaka	8090
kangaroo_rat	10020
kenya_baboon	9555
lafr	9785
lafricana	9785
lamineria	7897
lamprey	7757
large_flying_fox	132908
latcha	7897
latimeria_chalumnae	7897
lcha	7897
lchalumnae	7897
lepisosteus_oculatus	7918
lepocu	7918
lesser_hedgehog	9371
lesser_hedgehog_tenrec	9371
little_brown_bat	59463
living_fossil	7897
locu	7918
loculatus	7918
loxafr	9785
loxodonta_africana	9785
m_musculus	10090
macaca_mulatta	9544
macaque	9544
maceug	9315
macmul	9544
macropus	9315
macropus_eugenii	9315
macropuseugenii	9315
madagascar_hedgehog	9371
mallard	8839
marmoset	9483
mdom	13616
mdomestica	13616
medaka	8090
megabat	132908
meleagris_gallopavo	9103
melgal	9103
meug	9315
meugenii	9315
mga	9103
mgal	9103
mgallopavo	9103
micmur	30608
microbat	59463
microcebus_murinus	30608
mluc	59463
mlucifugus	59463
mmul	9544
mmulatta	9544
mmur	30608
mmurinus	30608
mmus	10090
mmusculus	10090
mondom	13616
monodelphis_domestica	13616
mouse	10090
mouse_lemur	30608
mput	9669
mputorius_furo	9669
mus	10090
mus_musculus	10090
musmus	10090
musput	9669
mustela_putorius_furo	9669
myoluc	59463
myotis_lucifugus	59463
nile_tilapia	8128
nine-banded_armadillo	9361
nleu	61853
nleucogenys	61853
nomascus_leucogenys	61853
nomleu	61853
northern_tree_shrew	37347
northern_white-cheeked_gibbon	61853
norway_rat	10116
o__niloticus	8128
oana	9258
oanatinus	9258
oar	9940
oari	9940
oaries	9940
ochotona_princeps	9978
ochpri	9978
ocun	9986
ocuniculus	9986
ogar	30611
ogarnettii	30611
olat	8090
olatipes	8090
olive_baboon	9555
onil	8128
oniloticus	8128
opossum	13616
opri	9978
oprinceps	9978
orang	9601
orang_utan	9601
orangutan	9601
ord's_kangaroo_rat	10020
ords_kangaroo_rat	10020
orenil	8128
oreochromis_niloticus	8128
ornana	9258
ornithorhynchus_anatinus	9258
oryctolagus_cuniculus	9986
orycun	9986
orylat	8090
oryzias_latipes	8090
otogar	30611
otolemur_garnettii	30611
oviari	9940
ovis_aries	9940
ovisaries	9940
p_sinensis	13735
pabe	9601
pabelii	9601
pan_troglodytes	9598
panda	9646
pantro	9598
panu	9555
panubis	9555
papanu	9555
papio_anubis	9555
papio_cynocephalus_anubis	9555
papio_doguera	9555
papio_hamadryas_anubis	9555
papio_hamadryas_doguera	9555
pcap	9813
pcapensis	9813
pelodiscus_sinensis	13735
petmar	7757
petromyzon_marinus	7757
pfor	48698
pformosa	48698
philippine_tarsier	9478
pig	9823
pigs	9823
pika	9978
platyfish	8083
platypus	9258
pmar	7757
pmarinus	7757
poecilia_formosa	48698
poefor	48698
ponabe	9601
pongo_abelii	9601
pongo_pygmaeus	9601
ponpyg	9601
ppyg	9601
ppygmaeus	9601
procap	9813
procavia_capensis	9813
procaviacapensis	9813
psinensis	13735
pteropus_vampyrus	132908
pteropusvampyrus	132908
ptevam	132908
ptro	9598
ptroglodytes	9598
pvam	132908
pvampyrus	132908
r_norvegicus	10116
rabbit	9986
rat	10116
ratnor	10116
rattus	10116
rattus_norvegicus	10116
rhesus	9544
rhesus_monkey	9544
rnor	10116
rnorvegicus	10116
rock_hyrax	9813
s_cerevisiae	4932
saccer	4932
saccharomyces_cerevisiae	4932
saccharomyces_cerevisiae_(baker's_yeast)	4932
sara	42254
saraneus	42254
sarcophilus_harrisii	9305
sarhar	9305
scer	4932
scerevisiae	4932
sea_lamprey	7757
sea_squirt_ciona_intestinalis	7719
sea_squirt_ciona_savignyi	51511
shar	9305
sharrisii	9305
sheep	9940
shrew	42254
sloth	9358
small-eared_galago	30611
small_madagascar_hedgehog	9371
softshell_turtle	13735
sorara	42254
sorex_araneus	42254
southern_platyfish	8083
spermophilus_tridecemlineatus	43179
spetri	43179
spotted_gar	7918
spotted_green_pufferfish	99883
squirrel	43179
sscr	9823
sscrofa	9823
stickleback	69293
stri	43179
stridecemlineatus	43179
sumatran_orangutan	9601
sus_scrofa	9823
swine	9823
t_rubripes	31033
taegut	59729
taeniopygia	59729
taeniopygia_guttata	59729
taeniopygiaguttata	59729
takifugu	31033
takifugu_rubripes	31033
takrub	31033
tammar_wallaby	9315
tarsier	9478
tarsius_syrichta	9478
tarsiussyrichta	9478
tarsyr	9478
tasmanian_devil	9305
tbel	37347
tbelangeri	37347
tdevil	9305
tenrec	9371
tetnig	99883
tetraodon	99883
tetraodon_nigroviridis	99883
tgut	59729
tguttata	59729
thirteen-lined_ground_squirrel	43179
three-spined_stickleback	69293
three_spined_stickleback	69293
tilapia	8128
tnig	99883
tnigroviridis	99883
torafugu	31033
tree_shrew	37347
trub	31033
trubripes	31033
tsyr	9478
tsyrichta	9478
ttru	9739
ttruncatus	9739
tupaia_belangeri	37347
tupbel	37347
turkey	9103
tursiops_truncatus	9739
tursiopstruncatus	9739
turtru	9739
two-toed_sloth	9358
vervet-agm	60711
vervet_monkey	60711
vicpac	30538
vicugna_pacos	30538
vicugnapacos	30538
vpac	30538
vpacos	30538
wallaby	9315
western_clawed_frog	8364
western_european_hedgehog	9365
western_gorilla	9595
white-tufted-ear_marmoset	9483
wild_boar	9823
wild_turkey	9103
worm	6239
x_tropicalis	8364
xenopus	8364
xenopus_tropicalis	8364
xentro	8364
xiphophorus_maculatus	8083
xipmac	8083
xmac	8083
xmaculatus	8083
xtro	8364
xtropicalis	8364
zebra_finch	59729
zebrafinch	59729
zebrafish	7955
zfish	7955
